state,county,city,site,pollutant,date,daily_avg,units_of_measure
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-09,0.308609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-10,0.352773,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-11,0.425696,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-12,0.698261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-13,0.924217,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-14,0.56587,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-15,0.640478,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-16,0.370158,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-17,0.362565,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-18,0.61613,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-19,0.310739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-20,0.502391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-21,0.635826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-22,0.444409,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-23,0.545043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-24,0.703,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-25,0.614826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-26,1.011609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-27,0.714522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-28,0.555217,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-29,0.532478,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-30,0.46113,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-07-31,0.543261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-01,0.74213,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-02,0.576391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-03,0.819043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-04,0.594304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-05,0.48587,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-06,0.974043,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-07,0.473591,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-08,0.452826,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-09,0.660739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-10,0.876957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-11,0.689304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-12,0.393087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-13,0.566773,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-14,0.67213,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-15,0.462739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-16,1.061783,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-17,0.41213,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-18,0.624478,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-19,0.586304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-20,0.351143,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-21,0.437476,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-22,0.4827,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-23,0.65385,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-24,0.485696,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-25,0.240391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-26,0.178348,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-27,0.289609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-28,0.637304,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-29,0.476348,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-30,0.531913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-08-31,0.588522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-01,0.206913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-02,0.557609,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-03,1.768261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-04,0.559652,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-05,0.572409,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-06,0.614957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-07,0.711739,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-08,1.313261,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-09,0.533522,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-10,0.381478,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-11,0.960435,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-12,0.571913,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-13,0.189565,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-14,0.670957,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-15,1.398087,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-16,0.626391,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-17,0.535318,Parts per million
Pennsylvania,Allegheny,Wilkinsburg,1376,Carbon monoxide,2019-09-18,0.398522,Parts per million
